HD\Step(V) ,0.0(V),2.00(V),2.10(V),2.20(V),2.30(V),2.40(V),2.50(V),2.55(V),2.60(V),2.65(V),2.70(V),2.75(V),2.80(V),2.85(V),2.90(V),2.95(V),3.00(V),3.05(V),3.10(V),3.15(V),3.20(V),3.25(V),3.30(V),3.35(V),3.40(V),
41.Y5GE2301,0,0.249289433843079,0.244419634498695,0.235789980101681,0.283792715659662,0.268919759525186,0.362153283533102,0.373447015608101,0.501365654679814,0.489502722165203,0.459222296666671,0.645638597239522,0.491631899210455,0.65686256484102,0.628011876618574,0.743817659494214,0.7018874278712,0.668267924188443,0.916383509689345,0.93009102143233,0.944682775209501,0.952741948394623,0.969167694004325,0.972026768610569,1,
42.Y5GE230Z,0,0.0120992946074373,0.0196522097655704,0.0146802211343506,0.0227585099000036,0.024737590856085,0.0333582756867453,0.0312822726542211,0.0321471186334808,0.0493969761291129,0.0501541087430469,0.201843027865766,0.206938005146545,0.321869880429837,0.313597201401389,0.305206062680178,0.70625170401755,0.802438101473488,0.857739948938233,0.818905280530493,0.886323449919877,0.993835577153965,1,0.980158459872808,0.956365052029975,
43.Y5GE230X,0,0.0350030269061819,0.0496082334435415,0.0561136192264147,0.0933697915341539,0.0972568175264839,0.0844593581375047,0.114652067553784,0.118402608076971,0.126906035133859,0.136700926667034,0.132200575154581,0.137633460014041,0.187094895716236,0.224760168305382,0.241788280012866,0.649668674485849,0.654766972827502,0.704191925233094,0.635121849544681,0.648149233738823,0.921905855609446,1,0.969784606048255,0.944875524305095,
44.Y5GE230W,0,0.0715423152076669,0.0800800955436951,0.0984975905523116,0.0889973078692807,0.120357778538399,0.249921864675533,0.249448303700032,0.265241529871268,0.249514542673832,0.278345599226778,0.268937838854694,0.430154050069646,0.515496351744977,0.506779958433242,0.490904588838526,0.51852185299195,0.610290533810462,0.683548751103161,0.653459613585569,0.977392492525842,0.969001986031142,0.842676387840755,0.955563488233691,1,
45.Y5GE230V,0,0.0242268595651103,0.126685423670609,0.129508642202649,0.183382920334633,0.179934783061032,0.197579038746267,0.197283910320537,0.167885539988458,0.643416585888927,0.675753091343543,0.692061417198195,0.66991206841659,0.67259436044901,0.71568193009697,0.838315406336752,0.825864865958876,0.874231115137583,0.924849352224992,0.940054216163243,0.931129009437858,0.858098839218545,0.87990955070883,0.909043838032601,1,
46.Y5GE230U,0,0.0296073502509651,0.0363876739710269,0.0564612752830029,0.0668162843669061,0.0551993091869229,0.0825408100130731,0.102032811173072,0.083360195285314,0.087998001189704,0.0482081143591423,0.155023734714212,0.188863831840586,0.180589766670378,0.213616474638416,0.175021347302273,0.24554295449405,0.288642858175177,0.396183818612029,0.492799302157894,0.573088203574653,0.541085257878125,0.996611233622643,0.965619544609909,1,
47.Y5GE230T,0,0.0438171075356691,0.0457415162176852,0.0477627679542714,0.0432487511009251,0.0928271214050445,0.0594644896468657,0.0586751105801052,0.0491359399201269,0.298832047557599,0.430978974633168,0.410270376233121,0.545330517007174,0.53268971128496,0.648832679712582,0.695251288904148,0.729164256429185,0.766412223037014,0.777480857972102,0.741319024557311,0.915443666799891,0.926145121467912,1,0.979624219032227,0.88702516290078,
48.Y5GE230S,0,0.0410287064102885,0.0948268698090238,0.097373206575302,0.10781103164651,0.107835913980051,0.117593253615058,0.124468974570925,0.194793496724045,0.242700661380051,0.31250915041612,0.556274063448103,0.435263662733376,0.57917930382687,0.63318721636979,0.704808311283773,0.737186108606847,0.761455565606475,0.601596126783082,0.859833943490677,0.803690196858258,0.969039022706616,0.978405831539074,0.957770344518157,1,
49.Y5GE230R,0,0.0212927939325338,0.0109772317077573,0.0325825502736915,0.0334016296984822,0.0474984058348319,0.0452795996041615,0.0463816194605704,0.0583850669533965,0.0604481913021421,0.0452305133642467,0.479401397176897,0.499821264339085,0.474707007241814,0.483706947194252,0.483519343608491,0.461333455613046,0.476478353609939,0.698554987954871,0.645483929695948,0.600110785074398,0.90842515563266,0.883033332680472,1,0.998595027130699,
50.Y5GE230M,0,0.0608745221120275,0.0653623260043849,0.119868054686669,0.151859093855588,0.148666920724927,0.156619092095127,0.155194603693229,0.17229256748759,0.250433331041655,0.299205448581149,0.255696846531556,0.256970415015733,0.251984277256015,0.3050133579777,0.307928601422902,0.357017109938598,0.282059067083093,0.489156816739452,0.633647641942048,0.678975156048615,0.999409060367137,0.984844141720362,1,0.961180444250451,
